year,sex,race_cat,pop,total,prop
2031,Female,Asian,106497,201544,0.52841
2031,Female,Black,9791,21054,0.46504
2031,Female,Latinx,107551,217906,0.49357
2031,Female,Multirace,16102,32477,0.4958
2031,Female,Native Hawaiian/Pacific Islander,6120,11630,0.52623
2031,Female,White,158857,315797,0.50304
2031,Male,American Indian/Alaskan Native,715,1471,0.48606
2031,Male,Asian,95047,201544,0.47159
2031,Male,Black,11263,21054,0.53496
2031,Male,Latinx,110355,217906,0.50643
2031,Male,Multirace,16375,32477,0.5042
2031,Male,Native Hawaiian/Pacific Islander,5510,11630,0.47377
2031,Male,White,156940,315797,0.49696
2032,Female,American Indian/Alaskan Native,762,1484,0.51348
2032,Female,Asian,106609,201817,0.52825
2032,Female,Black,9802,21130,0.46389
2032,Female,Latinx,108163,219116,0.49363
2032,Female,Multirace,16294,32944,0.4946
2032,Female,Native Hawaiian/Pacific Islander,6128,11624,0.52719
2032,Female,White,158829,315691,0.50312
2032,Male,American Indian/Alaskan Native,722,1484,0.48652
2032,Male,Asian,95208,201817,0.47175
2032,Male,Black,11328,21130,0.53611
2032,Male,Latinx,110953,219116,0.50637
2032,Male,Multirace,16650,32944,0.5054
2032,Male,Native Hawaiian/Pacific Islander,5496,11624,0.47281
2032,Male,White,156862,315691,0.49688
2033,Female,American Indian/Alaskan Native,769,1496,0.51404
2033,Female,Asian,106658,201901,0.52827
2033,Female,Black,9827,21225,0.46299
2033,Female,Latinx,108706,220119,0.49385
2033,Female,Multirace,16498,33362,0.49451
2033,Female,Native Hawaiian/Pacific Islander,6127,11626,0.52701
2033,Female,White,158873,315649,0.50332
2033,Male,American Indian/Alaskan Native,727,1496,0.48596
2033,Male,Asian,95243,201901,0.47173
2033,Male,Black,11398,21225,0.53701
